time, counts
2017/02/05 22:30:30, 2296
2017/02/05 22:31:0, 2379
2017/02/05 22:31:30, 2274
2017/02/05 22:32:0, 2309
2017/02/05 22:32:30, 2159
2017/02/05 22:33:0, 2223
2017/02/05 22:33:30, 2302
2017/02/05 22:34:0, 3453
2017/02/05 22:34:30, 3339
2017/02/05 22:35:0, 2237
2017/02/05 22:35:30, 1951
2017/02/05 22:36:0, 2071
2017/02/05 22:36:30, 1983
2017/02/05 22:37:0, 2185
2017/02/05 22:37:30, 2032
2017/02/05 22:38:0, 2131
2017/02/05 22:38:30, 1923
2017/02/05 22:39:0, 2097
2017/02/05 22:39:30, 2099
2017/02/05 22:40:0, 2367
2017/02/05 22:40:30, 2231
2017/02/05 22:41:0, 2704
2017/02/05 22:41:30, 2579
2017/02/05 22:42:0, 2569
2017/02/05 22:42:30, 2584
2017/02/05 22:43:0, 2546
2017/02/05 22:43:30, 2409
2017/02/05 22:44:0, 2419
2017/02/05 22:44:30, 2354
2017/02/05 22:45:0, 2506
2017/02/05 22:45:30, 2366
2017/02/05 22:46:0, 2321
2017/02/05 22:46:30, 2159
2017/02/05 22:47:0, 2353
2017/02/05 22:47:30, 2279
2017/02/05 22:48:0, 2516
2017/02/05 22:48:30, 2868
2017/02/05 22:49:0, 2988
2017/02/05 22:49:30, 3056
2017/02/05 22:50:0, 4104
2017/02/05 22:50:30, 3803
2017/02/05 22:51:0, 3291
2017/02/05 22:51:30, 3232
2017/02/05 22:52:0, 3195
2017/02/05 22:52:30, 2853
2017/02/05 22:53:0, 3045
2017/02/05 22:53:30, 2901
2017/02/05 22:54:0, 2977
2017/02/05 22:54:30, 3065
2017/02/05 22:55:0, 3090
2017/02/05 22:55:30, 3081
2017/02/05 22:56:0, 2806
2017/02/05 22:56:30, 2928
2017/02/05 22:57:0, 2923
2017/02/05 22:57:30, 2945
2017/02/05 22:58:0, 3276
2017/02/05 22:58:30, 2994
2017/02/05 22:59:0, 3192
2017/02/05 22:59:30, 3151
2017/02/05 23:00:0, 3750
2017/02/05 23:00:30, 3362
2017/02/05 23:01:0, 3172
2017/02/05 23:01:30, 3138
2017/02/05 23:02:0, 2992
2017/02/05 23:02:30, 3188
2017/02/05 23:03:0, 3283
2017/02/05 23:03:30, 3027
2017/02/05 23:04:0, 3090
2017/02/05 23:04:30, 3111
2017/02/05 23:05:0, 3171
2017/02/05 23:05:30, 3519
