time,count,words
2017-02-05 14:30:00-08:00,4859,win one falcons hour youre patriots picking @espnnfl game #patriots
2017-02-05 14:31:00-08:00,4653,win one hour falcons youre patriots picking @espnnfl halftime @nfl
2017-02-05 14:32:00-08:00,4468,win one falcons hour patriots halftime youre gaga picking sunday
2017-02-05 14:33:00-08:00,4525,win one falcons go halftime gaga hour patriots show youre
2017-02-05 14:34:00-08:00,6792,get whether #superbowl2017 #livenspired knocked httpstcofqdhs @thefalcoholics win falcons one
2017-02-05 14:35:00-08:00,4188,win falcons one gaga sunday halftime go patriots show #pepsihalftime
2017-02-05 14:36:00-08:00,4054,win falcons show gaga halftime one patriots go lady #pepsihalftime
2017-02-05 14:37:00-08:00,4217,win show gaga falcons dont halftime football #pepsihalftime lady go
2017-02-05 14:38:00-08:00,4054,win show gaga falcons halftime lady one patriots go dont
2017-02-05 14:39:00-08:00,4196,win falcons gaga patriots sunday show halftime lady #pepsihalftime one
2017-02-05 14:40:00-08:00,4598,win got sunday looking @bleacherreport ya franchise title new show
2017-02-05 14:41:00-08:00,5283,got @bleacherreport looking ya title franchise atlanta history 1st httpstcogm2pt3micc
2017-02-05 14:42:00-08:00,5153,got looking @bleacherreport ya title franchise atlanta win history 1st
2017-02-05 14:43:00-08:00,4955,got looking @bleacherreport ya title franchise win atlanta history #patriots
2017-02-05 14:44:00-08:00,4773,got looking ya @bleacherreport title franchise win #patriots gaga atlanta
2017-02-05 14:45:00-08:00,4872,got win @bleacherreport 1st looking ya title franchise #patriots gaga
2017-02-05 14:46:00-08:00,4480,win got @bleacherreport ya looking #patriots title franchise gaga show
2017-02-05 14:47:00-08:00,4632,win got @bleacherreport looking ya franchise title gaga #patriots show
2017-02-05 14:48:00-08:00,5384,go cant #avosecrets dip mexico avocados wrong 7layer #afmsweepstakes win
2017-02-05 14:49:00-08:00,6044,go cant #avosecrets dip avocados mexico wrong #afmsweepstakes 7layer win
2017-02-05 14:50:00-08:00,7907,make america enjoy @realdonaldtrump great continue go cant #avosecrets mexico
2017-02-05 14:51:00-08:00,6523,go cant make @realdonaldtrump #avosecrets america enjoy avocados mexico great
2017-02-05 14:52:00-08:00,6048,go cant #avosecrets make dip mexico avocados wrong 7layer #afmsweepstakes
2017-02-05 14:53:00-08:00,5946,go cant #avosecrets avocados mexico dip wrong #afmsweepstakes 7layer make
2017-02-05 14:54:00-08:00,6042,go cant #avosecrets dip mexico avocados wrong 7layer #afmsweepstakes make
2017-02-05 14:55:00-08:00,6171,go cant #avosecrets avocados mexico dip wrong 7layer #afmsweepstakes make
2017-02-05 14:56:00-08:00,5734,go cant #avosecrets avocados mexico dip wrong #afmsweepstakes 7layer make
2017-02-05 14:57:00-08:00,5868,#avosecrets win #avosweepstakes mexico avocados gaga make america got awesome
2017-02-05 14:58:00-08:00,6270,win awesome #avosecrets chance #avosweepstakes mexico avocados prizes make america
2017-02-05 14:59:00-08:00,6343,win awesome chance #avosecrets mexico avocados #avosweepstakes prizes make america
2017-02-05 15:00:00-08:00,7112,win awesome chance #avosecrets avocados mexico prizes #avosweepstakes #patriots make
2017-02-05 15:01:00-08:00,6310,win #avosecrets awesome chance mexico prizes avocados #avosweepstakes got #patriots
2017-02-05 15:02:00-08:00,6180,win awesome chance #avosecrets prizes avocados #avosweepstakes mexico got falcons
2017-02-05 15:03:00-08:00,6310,win awesome chance #avosecrets prizes avocados #avosweepstakes mexico gaga falcons
2017-02-05 15:04:00-08:00,6201,win chance awesome #avosecrets prizes mexico avocados #avosweepstakes got falcons
2017-02-05 15:05:00-08:00,6690,win falcons 1st think @sportscenter httpstcokgvly9lyjq chance got time make
2017-02-05 15:06:00-08:00,7033,win falcons 1st think @sportscenter httpstcokgvly9lyjq chance #avosecrets awesome prizes
2017-02-05 15:07:00-08:00,6502,win falcons 1st think @sportscenter httpstcokgvly9lyjq chance got make awesome
2017-02-05 15:08:00-08:00,6226,win falcons chance awesome 1st #avosecrets prizes mexico avocados #avosweepstakes
2017-02-05 15:09:00-08:00,6664,win chance awesome #avosecrets prizes mexico avocados #avosweepstakes falcons 1st
2017-02-05 15:10:00-08:00,6126,win falcons chance awesome #avosecrets mexico prizes avocados #avosweepstakes 1st
2017-02-05 15:11:00-08:00,6529,win falcons chance awesome #avosecrets prizes mexico avocados #avosweepstakes gaga
2017-02-05 15:12:00-08:00,5784,win falcons 1st gaga think #patriots lady #riseup time show
2017-02-05 15:13:00-08:00,5374,win falcons gaga #patriots make lady 1st time im watch
2017-02-05 15:14:00-08:00,5878,win falcons gaga think 1st time #patriots lady show im
2017-02-05 15:15:00-08:00,6946,win falcons 1st think time gaga #patriots @sportscenter httpstcokgvly9lyjq go
2017-02-05 15:16:00-08:00,6528,win falcons go 1st show time #patriots think gaga make
2017-02-05 15:17:00-08:00,6692,win falcons go #patriots time think gaga patriots lets 1st
2017-02-05 15:18:00-08:00,7488,win falcons go #patriots lets time patriots watch #riseup gaga
2017-02-05 15:19:00-08:00,7833,falcons win go lets #patriots time #riseup patriots im show
2017-02-05 15:20:00-08:00,8204,falcons win go lets #patriots #riseup time im think patriots
2017-02-05 15:21:00-08:00,8529,falcons win go #patriots lets #riseup time im patriots got
2017-02-05 15:22:00-08:00,7997,falcons win go #patriots time lets #riseup im patriots 1st
2017-02-05 15:23:00-08:00,7388,falcons win go time lets #patriots #riseup im game watch
2017-02-05 15:24:00-08:00,8883,falcons win go time #patriots lets im #riseup game watching
2017-02-05 15:25:00-08:00,10638,sisterhood go falcons #patriots win america #riseup time lets im
2017-02-05 15:26:00-08:00,10685,sisterhood go anthem luke falcons win national #riseup #patriots america
2017-02-05 15:27:00-08:00,11707,anthem luke national go win falcons time bryan #patriots like
2017-02-05 15:28:00-08:00,12438,anthem national luke bryan go time @lukebryanonline win falcons lets
2017-02-05 15:29:00-08:00,12758,anthem national go luke falcons win bryan time @lukebryanonline lets
2017-02-05 15:30:00-08:00,13283,time anthem national #patriots #riseup falcons go win game lets
2017-02-05 15:31:00-08:00,14164,time commercial anthem national go falcons win #patriots #riseup @cocacola
2017-02-05 15:32:00-08:00,11376,commercial time anthem win go national falcons america @cocacola watching
2017-02-05 15:33:00-08:00,13205,bush george see barbara go time president win im anthem
2017-02-05 15:34:00-08:00,12768,bush coin george toss president see go barbara falcons win
2017-02-05 15:35:00-08:00,14502,bush coin toss george time president lets watching go falcons
2017-02-05 15:36:00-08:00,14879,bush coin toss george president win go time lets falcons
2017-02-05 15:37:00-08:00,16102,bush go coin george president toss @nfl time lets win
2017-02-05 15:38:00-08:00,14047,go bush george coin lets president time falcons @nfl win
2017-02-05 15:39:00-08:00,11486,bush go time falcons win george president lets watching game
2017-02-05 15:40:00-08:00,11549,bush go falcons win watching amp george 3 game #riseup
2017-02-05 15:41:00-08:00,11522,sundayyeee httpstcow2vaofatwh @allybrooke bush go falcons win watching amp im
2017-02-05 15:42:00-08:00,12329,freeman falcons go bush #riseup win watching @allybrooke sundayyeee httpstcow2vaofatwh
2017-02-05 15:43:00-08:00,10383,im falcons go bush @nfl win watching @devontafreeman goes 37
2017-02-05 15:44:00-08:00,9052,bush im watching falcons go win like #patriots gaga george
2017-02-05 15:45:00-08:00,10574,falcons bush watching win #patriots im go like see time
2017-02-05 15:46:00-08:00,10800,bush win commercials falcons commercial im get google @nfl watching
2017-02-05 15:47:00-08:00,10737,bush commercials commercial george win president hw watching falcons coin
2017-02-05 15:48:00-08:00,10202,bush commercials commercial george im hw president watching win falcons
2017-02-05 15:49:00-08:00,9952,bush george win commercial watching im commercials brady like president
2017-02-05 15:50:00-08:00,9272,bush george win watching president im like falcons commercial hw
2017-02-05 15:51:00-08:00,9064,bush win george like watching falcons brady america president im
2017-02-05 15:52:00-08:00,9386,brady bush win like watching falcons george im amp america
2017-02-05 15:53:00-08:00,9342,brady bush falcons like watching win sack #riseup im sacked
2017-02-05 15:54:00-08:00,11397,brady falcons bush like win sack #riseup tom sacked watching
2017-02-05 15:55:00-08:00,10973,brady bush falcons win commercial tom like commercials watching im
2017-02-05 15:56:00-08:00,12305,commercial skittles commercials bush brady get like win falcons watching
2017-02-05 15:57:00-08:00,10129,commercial bush falcons commercials win brady watching like watch im
2017-02-05 15:58:00-08:00,9461,bush win commercial falcons brady like watch watching im commercials
2017-02-05 15:59:00-08:00,8838,bush win falcons watching like brady im commercial commercials gaga
2017-02-05 16:00:00-08:00,9541,bush win falcons like commercial game watching im watch brady
2017-02-05 16:01:00-08:00,9811,commercial bush win commercials like falcons im watching go game
2017-02-05 16:02:00-08:00,10962,commercial commercials bush watching win like oil one go falcons
2017-02-05 16:03:00-08:00,10104,commercial commercials bush one like win gaga watching lady oil
2017-02-05 16:04:00-08:00,10365,patriots quarter commercial bush commercials first score one win like
2017-02-05 16:05:00-08:00,10902,quarter commercials 1st first score commercial one win bush falcons
2017-02-05 16:06:00-08:00,12460,commercials commercial quarter brady 1st tom one score win watching
2017-02-05 16:07:00-08:00,12907,commercials commercial quarter win #weaccept bush brady one ad watching
2017-02-05 16:08:00-08:00,11764,commercials commercial #riseup falcons win watching @nfl #weaccept brady ad
2017-02-05 16:09:00-08:00,12654,falcons recover #riseup ball @atlantafalcons @bleacherreport @nfl commercials httpstcoa0ou6cnybx commercial
2017-02-05 16:10:00-08:00,10858,falcons commercials commercial amp win america #riseup @bleacherreport recover pirates
2017-02-05 16:11:00-08:00,13328,commercial cam commercials buick newton far falcons best win america
2017-02-05 16:12:00-08:00,12423,commercial cam julio newton commercials amp #riseup far jones win
2017-02-05 16:13:00-08:00,12330,commercial freeman @nfl falcons #riseup amp best win commercials like
2017-02-05 16:14:00-08:00,10440,commercial falcons freeman #riseup win @nfl commercials best amp watching
2017-02-05 16:15:00-08:00,13042,commercial commercials win bieber best falcons like justin amp im
2017-02-05 16:16:00-08:00,18852,falcons #riseup touchdown freeman first commercial devonta td @nfl easy
2017-02-05 16:17:00-08:00,19369,falcons touchdown #riseup freeman first @nfl td commercial devonta strike
2017-02-05 16:18:00-08:00,16946,#riseup falcons touchdown commercial @nfl first @atlantafalcons freeman one atl
2017-02-05 16:19:00-08:00,16674,commercial #riseup falcons @nfl touchdown first commercials @atlantafalcons win epic
2017-02-05 16:20:00-08:00,13659,commercial #riseup falcons first @nfl win touchdown commercials amp one
2017-02-05 16:21:00-08:00,12959,commercial falcons #riseup amp first win like one @nfl watch
2017-02-05 16:22:00-08:00,11860,commercial falcons like #riseup amp win first watching america im
2017-02-05 16:23:00-08:00,10701,commercial falcons #riseup fly like win amp first freeman watching
2017-02-05 16:24:00-08:00,12475,commercial falcons like #riseup win commercials amp first im america
2017-02-05 16:25:00-08:00,14175,im game us happy wishing living @dinahjane97 @normanikordei lowkey commercial
2017-02-05 16:26:00-08:00,14176,julio commercial im game falcons jones us #riseup like win
2017-02-05 16:27:00-08:00,12391,commercial @bleacherreport hit im youve julio httpstcouqqht9wzfn #riseup falcons game
2017-02-05 16:28:00-08:00,19331,@bleacherreport hit youve httpstcouqqht9wzfn touchdown falcons #riseup one another @nfl
2017-02-05 16:29:00-08:00,17916,@bleacherreport hit youve httpstcouqqht9wzfn falcons touchdown #riseup one another #falcons
2017-02-05 16:30:00-08:00,19792,@bleacherreport hit youve httpstcouqqht9wzfn touchdown falcons #mattvp #riseup @atlantafalcons hooper
2017-02-05 16:31:00-08:00,18804,@bleacherreport hit youve httpstcouqqht9wzfn falcons touchdown #riseup commercial @atlantafalcons #mattvp
2017-02-05 16:32:00-08:00,18033,@bleacherreport hit youve httpstcouqqht9wzfn falcons #riseup commercial touchdown like win
2017-02-05 16:33:00-08:00,15774,hit @bleacherreport youve httpstcouqqht9wzfn falcons commercial #riseup touchdown like win
2017-02-05 16:34:00-08:00,14358,hit @bleacherreport youve falcons httpstcouqqht9wzfn commercial #riseup win patriots halftime
2017-02-05 16:35:00-08:00,13167,hit @bleacherreport youve httpstcouqqht9wzfn falcons #riseup commercial win bush brady
2017-02-05 16:36:00-08:00,13347,falcons hit patriots @bleacherreport im youve httpstcouqqht9wzfn win bush like
2017-02-05 16:37:00-08:00,12384,hit patriots im falcons @bleacherreport youve bush commercial win httpstcouqqht9wzfn
2017-02-05 16:38:00-08:00,12312,hit im patriots falcons youve commercial look @bleacherreport bush win
2017-02-05 16:39:00-08:00,13127,hit patriots falcons im youve win commercial bush @bleacherreport halftime
2017-02-05 16:40:00-08:00,12934,hit patriots im falcons youve commercial win @bleacherreport bush look
2017-02-05 16:41:00-08:00,14051,falcons patriots hit gaga im #pepsihalftime commercial youve look win
2017-02-05 16:42:00-08:00,15006,falcons patriots hit gaga halftime im holding youve commercial win
2017-02-05 16:43:00-08:00,13064,falcons gaga hit patriots halftime win im commercial youve lady
2017-02-05 16:44:00-08:00,13051,#riseup falcons patriots im gaga wow pick halftime win @nfl
2017-02-05 16:45:00-08:00,32607,#riseup pick falcons brady wow right @bleacherreport patriots alford #falcons
2017-02-05 16:46:00-08:00,36251,falcons #riseup patriots pick brady tom @bleacherreport 210 6 right
2017-02-05 16:47:00-08:00,36187,@bleacherreport falcons #riseup patriots deflated httpstconh3rfa5inf brady @rockorocky pick6 tom
2017-02-05 16:48:00-08:00,31354,@bleacherreport falcons deflated httpstconh3rfa5inf patriots #riseup brady tom pick @rockorocky
