time,count,words
2017-02-05 14:30:00-08:00,4859,win one falcons hour youre patriots picking game halftime show
2017-02-05 14:31:00-08:00,4653,win one hour falcons youre patriots picking halftime gaga show
2017-02-05 14:32:00-08:00,4468,win one falcons hour patriots halftime youre gaga picking sunday
2017-02-05 14:33:00-08:00,4525,win one falcons go halftime gaga hour patriots show youre
2017-02-05 14:34:00-08:00,6792,get whether knocked win falcons one halftime gaga go patriots
2017-02-05 14:35:00-08:00,4188,win falcons one gaga sunday halftime go patriots show lady
2017-02-05 14:36:00-08:00,4054,win falcons show gaga halftime one patriots go lady sunday
2017-02-05 14:37:00-08:00,4217,win show gaga falcons dont halftime football lady go patriots
2017-02-05 14:38:00-08:00,4054,win show gaga falcons halftime lady one patriots go dont
2017-02-05 14:39:00-08:00,4196,win falcons gaga patriots sunday show halftime lady one im
2017-02-05 14:40:00-08:00,4598,win got sunday looking ya franchise title new show falcons
2017-02-05 14:41:00-08:00,5283,got looking ya title franchise atlanta history 1st win ready
2017-02-05 14:42:00-08:00,5153,got looking ya title franchise atlanta win history 1st new
2017-02-05 14:43:00-08:00,4955,got looking ya title franchise win atlanta history 1st gaga
2017-02-05 14:44:00-08:00,4773,got looking ya title franchise win gaga atlanta history lady
2017-02-05 14:45:00-08:00,4872,got win 1st looking ya title franchise gaga atlanta show
2017-02-05 14:46:00-08:00,4480,win got ya looking title franchise gaga show halftime lady
2017-02-05 14:47:00-08:00,4632,win got looking ya franchise title gaga show lady falcons
2017-02-05 14:48:00-08:00,5384,go cant dip mexico avocados wrong 7layer win got looking
2017-02-05 14:49:00-08:00,6044,go cant dip mexico avocados wrong 7layer win got tonight
2017-02-05 14:50:00-08:00,7907,make enjoy america great continue go cant mexico dip avocados
2017-02-05 14:51:00-08:00,6523,go cant make america enjoy mexico avocados great dip wrong
2017-02-05 14:52:00-08:00,6048,go cant make dip mexico avocados wrong 7layer america great
2017-02-05 14:53:00-08:00,5946,go cant mexico avocados dip wrong 7layer make america great
2017-02-05 14:54:00-08:00,6042,go cant dip mexico avocados wrong 7layer make america great
2017-02-05 14:55:00-08:00,6171,go cant avocados mexico dip wrong 7layer make america win
2017-02-05 14:56:00-08:00,5734,go cant mexico avocados dip wrong 7layer make america win
2017-02-05 14:57:00-08:00,5868,win mexico avocados gaga make got america awesome go chance
2017-02-05 14:58:00-08:00,6270,win awesome chance mexico avocados prizes make america got gaga
2017-02-05 14:59:00-08:00,6343,win awesome chance mexico avocados prizes make america great got
2017-02-05 15:00:00-08:00,7112,win awesome chance avocados mexico prizes make got america great
2017-02-05 15:01:00-08:00,6310,win awesome chance mexico prizes avocados got make america show
2017-02-05 15:02:00-08:00,6180,win awesome chance prizes mexico avocados got falcons make show
